"a","b","c","x_n","x_m","vel1","vel2","vel3","G1","delta2","delta3"
0.00496059490946847,0.00611640795439409,0.0153363027381868,0.970105404958018,1.83558232814369,0.0203191240619218,0.0349704311886526,0.0493024066069179,0.404882153412158,0.0500456485766009,0.138931755538492
0.00409057872200418,0.00544521817592208,0.0133688785789021,0.888436201920407,1.11522128965025,0.0205440373620628,0.0358763935697198,0.0481538820780744,0.291687487365626,0.0518173904406873,0.118048913453077
0.00513256851936787,0.00541703938056045,0.0142920859920101,0.635811999521905,1.23704240971251,0.0203537349254686,0.0357356164182104,0.0480802014614124,0.400035887530025,0.0584494804393966,0.100638268353522
0.00394460852939136,0.00463455760551163,0.0102874090144937,0.503617227516265,1.81151956176666,0.0198543033142306,0.034719925975902,0.0477863710645355,0.407250859613412,0.0354541084657481,0.0642538521575485
0.00539651993199355,0.00469966160876322,0.0169256973500425,0.938987006995606,1.68891784261675,0.0207250137543094,0.0348049224317385,0.0482803986408103,0.292006518146704,0.0719075277078594,0.102225193089976
0.00573270739737584,0.00446988527341629,0.0144454159130193,0.989725599576265,1.24419762980476,0.0201008760649424,0.035588622108115,0.0479435392275343,0.351818185203242,0.0459679599339853,0.0682128517146199
0.00591205461630725,0.00577779458841308,0.0173370809510696,0.827657231534191,1.78689285227247,0.0198705902428593,0.0353770694104112,0.0475109461882613,0.292330439175264,0.0654862400655635,0.107818649669592
0.00584231349082118,0.00655492862576097,0.014889462185336,0.536137758412905,1.02031599777384,0.0204569757301443,0.0350405876973408,0.0484648193768039,0.392116526877853,0.0301228770743124,0.0877776992115751
0.00615206801011556,0.00493121468871423,0.0170374020628135,0.875702371791535,2.04641100192284,0.0201257637652899,0.036098174696352,0.048595993030907,0.305538591216947,0.0656626453926286,0.0698278777627554
0.00505051063154046,0.00703103278439586,0.0181664174986251,0.792713507774344,1.0398763449189,0.0200174706258089,0.0348495613521394,0.0490318821424989,0.364774022180545,0.0666967632522341,0.10542332563401
0.00432410296988149,0.00389452345806834,0.0094992384474969,0.596134964284126,1.01212036081392,0.0203365779694682,0.035957571985354,0.0491634241733048,0.393515801752008,0.0517834730682313,0.131971462710912
0.00414263811464779,0.0053714247443241,0.0190423537535107,0.653654836952209,1.33714534022401,0.0206442007626931,0.0356200123141199,0.0474199320947466,0.408969168339715,0.0434060498002893,0.111515848024499
0.00312836962751483,0.00437723866632448,0.0175381269251013,0.563391730624193,1.95178453184132,0.0202613062775264,0.0360331680198479,0.0477469848071047,0.404152217073672,0.0562990040547017,0.0830755001641298
0.00657589448241072,0.00386832227358074,0.0186389779525171,0.894884423677734,1.32357887406454,0.0207317848869295,0.0363272563717286,0.0472632870252675,0.319130285725378,0.0423582306068251,0.125377188519998
0.00333406986421977,0.00383241232623664,0.0109317367944372,0.818052758323989,1.65162299565721,0.0209502784611446,0.0352311129578269,0.0489533582451188,0.395638362438723,0.0339956528473913,0.0677332599414582
0.0063592534781871,0.0033949892605547,0.0148418876082682,0.824160614392039,2.05993290311006,0.0204635190628083,0.0350498658792848,0.0494450772374353,0.415092316860326,0.0679360404427059,0.122737536024405
0.00462050548742543,0.0058162857858755,0.0119727182852916,0.697732315525494,0.991714011987846,0.0208224764219056,0.036031360983921,0.0487324582379474,0.306102369041753,0.0382026854098693,0.0696423181031621
0.00628210604394203,0.00498254452990185,0.0107495378263645,0.458228663434752,2.11430125172969,0.0210006589688135,0.0349063562250739,0.0476778559643383,0.378789993182777,0.0425291077524249,0.139334511230167
0.00584853409236592,0.00335206738893905,0.00964611546123947,0.534586426864949,1.93615890674258,0.020129226625056,0.0347263411417484,0.048616042960773,0.285327109724695,0.0553582819939905,0.10924625652656
0.00312407148535874,0.00371241204675931,0.0113436231547468,0.832469109055126,1.90767070360521,0.020313861378569,0.0354032222821865,0.0482583632961827,0.301454344658677,0.0357382169333263,0.137487930552533
0.00439975910620708,0.00361539083553166,0.0122524958800629,0.908849764994258,1.1522778453177,0.0199994060752548,0.0362590035760122,0.0479987274483172,0.300281652461063,0.0437583109840145,0.0663785172228469
0.00469886954490181,0.00409487220191141,0.0210618728926607,0.90722247641937,1.17600559959551,0.0203186489036763,0.0354506637106065,0.047736851594991,0.371585537567737,0.0729904844851047,0.0807847195653338
0.00300010359174065,0.00442202194118359,0.0144835872100202,1.07430968403103,1.0348807753816,0.0206774368030408,0.0348694732038775,0.048013532214162,0.308881628846203,0.0592567271840665,0.0726280157102924
0.00497258683572101,0.00402459264874579,0.0211298362038431,0.74300747005755,2.10710797221976,0.0199611397770973,0.0352289782413702,0.0489295538481726,0.382402855284304,0.0676800842112757,0.115655238608485
0.00608889538036215,0.00417478477761588,0.0152702958664392,1.03385962475858,1.58962868983109,0.0201759799352561,0.036157225324416,0.0483736363753972,0.37035196670728,0.0607407970097673,0.13342454806457
0.00431646073105026,0.00365176427301445,0.0111718848401976,1.00651134854404,0.953339903479151,0.0199136918511733,0.035235986938154,0.0494031841250346,0.322868116457984,0.0702927042001788,0.0827027642513928
0.00572120915393339,0.00569422130092329,0.0108700395665219,0.950552754180017,1.14308462489785,0.0201565568672486,0.0347581228606861,0.0482820464394753,0.302728798743081,0.0629776289493858,0.111659331260857
0.00550788614842188,0.00449231341510633,0.0111968665907584,0.657613743251294,0.931816803113068,0.0202196643730941,0.0350851991673573,0.0475839226088505,0.386382938582664,0.0696321705527394,0.0887277752385591
0.00428059319342755,0.00685385637591812,0.0099678623406901,0.987246498752473,2.13674319921619,0.0206770659696678,0.0357732836176115,0.0474335536019982,0.409769058801871,0.0410236071486969,0.0710919389200211
